SMILES;Molecular_weight;LogP;Number_of_HBA_1;Number_of_HBA_2;Number_of_HBD_1;Number_of_HBD_2;Number_of_acidic_groups;Number_of_aliphatic_OH_groups;Number_of_basic_groups;Fraction_of_rotatable_bonds;Number_of_heavy_bonds;Number_of_heterocycles;Number_of_hydrophobic_groups;MolarRefractivity;Number_of_atoms;Number_of_halogen_atoms;Number_of_B_atoms;Number_of_Br_atoms;Number_of_Cl_atoms;Number_of_I_atoms;Number_of_F_atoms;Number_of_N_atoms;Number_of_O_atoms;Number_of_P_atoms;Number_of_S_atoms;Number_of_bonds;Number_of_NO2_groups;Number_of_SO_groups;Number_of_OSO_groups;Number_of_SO2_groups;PolarSurfaceArea;Geometrical_diameter;Geometrical_radius;Geometrical_shape_coefficient;Kier_shape_1;Kier_shape_2;Zagreb_group_index_1;Zagreb_group_index_2;abonds;atoms;bonds;dbonds;HBA1;HBA2;HBD;logP;MR;MW;nF;sbonds;tbonds;TPSA;MF;MW;Ncharges;C;Cl;F;N;O;S;P;H;Si;Al;RNH2;R2NH;R3N;ROPO3;ROH;RCHO;RCOR;RCOOH;RCOOR;ROR;RCCH;RCN;RINGS;AROMATIC;freq6
N(=O)OCl;81.45799828;0.8382;3;1;0;0;0;0;0;0.333333333;3;0;0;12.733;4;1;0;0;1;0;0;1;2;0;0;3;0;0;0;0;38.66;3.63806371;1.23520564;1.945310152;4;3;10;8;0;4;3;1;3;1;0;0.8382;12.733;81.4585;0;2;0;38.66;ClNO2;81.4585;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1683.894022
N(=O)[O];46.00499916;0.142;3;1;1;1;0;0;0;0;2;0;0;7.5815;3;0;0;0;0;0;0;1;2;0;0;2;0;0;0;0;49.66;2.201957486;1.335890734;0.648306579;3;2;6;4;0;3;2;1;3;1;0;0.0983;6.4815;46.0055;0;1;0;29.43;NO2;46.0055;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
N(F)(Cl)Cl;103.9109974;1.4805;1;1;0;0;0;0;0;0;3;0;0;14.653;4;3;0;0;2;0;1;1;0;0;0;3;0;0;0;0;3.24;2.891991148;1.373441305;1.105653251;4;1.333333333;12;9;0;4;3;0;1;1;0;1.4805;14.653;103.9111032;1;3;0;3.24;Cl2FN;103.9111032;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
N(F)(F)Cl;87.45599747;1.2112;1;1;0;0;0;0;0;0;3;0;0;9.908;4;3;0;0;1;0;2;1;0;0;0;3;0;0;0;0;3.24;2.58330352;1.37340503;0.880948056;4;1.333333333;12;9;0;4;3;0;1;1;0;1.2112;9.908;87.4565064;2;3;0;3.24;ClF2N;87.4565064;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
N(F)(F)F;71.00099754;0.9419;1;1;0;0;0;0;0;0;3;0;0;5.163;4;3;0;0;0;0;3;1;0;0;0;3;0;0;0;0;3.24;2.255565602;1.373381679;0.642344322;4;1.333333333;12;9;0;4;3;0;1;1;0;0.9419;5.163;71.0019096;3;3;0;3.24;F3N;71.0019096;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
N(F)F;53.01099837;0.9501;2;1;1;1;0;0;0;0;2;0;0;5.9804;4;2;0;0;0;0;2;1;0;0;0;3;0;0;0;0;12.03;2.255546445;1.019036329;1.213411221;3;2;11;6;0;4;3;0;2;1;1;0.7359;5.0177;53.0114464;2;3;0;12.03;F2N;52.0035064;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
N=O;31.01399958;0.6455;3;2;1;1;0;0;0;0;1;0;0;7.7204;3;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;40.92;1.831826466;0.980921959;0.867453826;2;0;5;2;0;3;2;1;3;2;1;0.4313;6.7577;31.01404;0;1;0;40.92;NO;30.0061;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O(Cl)Cl;86.90499783;1.3106;1;1;0;0;0;0;0;0;2;0;0;12.791;3;2;0;0;2;0;0;0;1;0;0;2;0;0;0;0;9.23;2.748338381;1.673454618;0.642314259;3;2;6;4;0;3;2;0;1;1;0;1.3106;12.791;86.9054;0;2;0;9.23;Cl2O;86.9054;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O(F)F;53.99499798;0.772;1;1;0;0;0;0;0;0;2;0;0;3.301;3;2;0;0;0;0;2;0;1;0;0;2;0;0;0;0;9.23;2.316342256;1.410386252;0.642346026;3;2;6;4;0;3;2;0;1;1;0;0.772;3.301;53.9962064;2;2;0;9.23;F2O;53.9962064;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O=S(=O)=O;80.06400013;0.2918;3;3;0;0;0;0;0;0;3;0;0;9.6505;4;0;0;0;0;0;0;0;3;0;1;3;0;0;0;0;83.3;2.3652365;1.569735175;0.506774224;4;1.333333333;12;9;0;4;3;3;3;3;0;0.2918;9.6505;80.0632;0;0;0;83.3;O3S;80.0632;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
